ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
855986,26-39,male,majority,10-19y,none,poverty,0.361735862,0,after 2015,1,1,10238,10000,sedan,1,0,4,0
105163,40-64,male,majority,20-29y,none,working class,,1,before 2015,1,1,32765,10000,sports car,5,0,1,0
94766,16-25,female,majority,0-9y,high school,working class,0.356589006,0,before 2015,0,1,10238,14000,sedan,0,0,0,1
792223,26-39,female,majority,10-19y,university,middle class,0.434664192,1,before 2015,1,1,32765,,sports car,3,0,1,0
487130,65+,female,majority,30y+,high school,upper class,0.555659816,0,before 2015,1,1,10238,7000,sedan,1,0,1,0
553435,26-39,male,majority,10-19y,high school,middle class,0.54756255,1,before 2015,1,0,10238,12000,sedan,1,1,1,0
782647,16-25,male,majority,0-9y,high school,working class,,1,before 2015,0,1,10238,,sedan,0,0,0,0
537205,26-39,female,majority,10-19y,none,poverty,0.298974286,0,before 2015,0,1,10238,12000,sedan,0,0,1,0
948344,26-39,male,majority,10-19y,university,working class,,1,before 2015,0,1,32765,9000,sedan,4,1,3,0
648678,16-25,female,minority,0-9y,high school,poverty,0.436473841,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
726139,65+,female,majority,30y+,university,upper class,0.710358,1,before 2015,1,1,10238,13000,sedan,0,0,4,0
920924,40-64,male,majority,20-29y,high school,middle class,0.567909244,1,before 2015,0,0,10238,18000,sedan,2,0,1,0
668589,16-25,male,majority,0-9y,university,working class,0.330943392,1,before 2015,0,0,10238,15000,sedan,0,0,0,0
34516,26-39,male,majority,10-19y,none,poverty,0.251388176,0,before 2015,0,0,10238,,sedan,0,0,0,1
321160,65+,female,majority,0-9y,university,upper class,0.594566426,1,after 2015,0,1,10238,13000,sports car,0,0,0,0
537983,16-25,female,majority,0-9y,high school,working class,0.398508074,1,before 2015,1,0,10238,11000,sedan,0,0,0,0
494066,26-39,male,majority,10-19y,high school,working class,0.366996157,0,before 2015,1,0,10238,,sedan,1,0,4,1
255774,40-64,female,majority,20-29y,none,middle class,0.41012606,1,before 2015,1,1,10238,11000,sedan,0,1,2,0
747616,26-39,female,majority,10-19y,high school,working class,0.430181857,1,before 2015,1,1,10238,13000,sedan,0,0,0,0
391939,40-64,male,majority,20-29y,high school,middle class,0.520280089,1,before 2015,1,1,32765,10000,sedan,6,0,0,0
527636,40-64,male,minority,20-29y,none,middle class,0.403580962,0,before 2015,0,1,32765,8000,sedan,7,0,1,1
20455,40-64,female,majority,10-19y,university,upper class,0.728514609,1,before 2015,1,1,32765,,sedan,1,0,0,0
567014,40-64,male,majority,20-29y,university,upper class,0.681105903,0,before 2015,1,1,10238,10000,sedan,5,2,3,0
76473,26-39,female,majority,0-9y,high school,upper class,0.589536227,0,before 2015,1,0,32765,10000,sedan,0,0,0,0
110130,65+,female,majority,10-19y,high school,upper class,0.657106391,1,before 2015,0,1,10238,,sedan,0,0,0,1
629221,65+,male,majority,30y+,high school,upper class,0.730909698,1,before 2015,1,1,10238,9000,sedan,7,0,4,0
489949,65+,female,majority,10-19y,high school,upper class,0.69211252,1,before 2015,1,1,10238,13000,sedan,0,0,0,0
270914,16-25,female,majority,0-9y,high school,poverty,,0,before 2015,0,0,10238,19000,sedan,0,0,0,1
598852,26-39,male,majority,0-9y,high school,upper class,0.613904998,1,before 2015,0,1,10238,10000,sedan,0,0,0,1
621643,40-64,male,majority,10-19y,high school,upper class,0.620612665,1,before 2015,1,0,32765,10000,sedan,0,1,1,1
981429,26-39,female,majority,10-19y,high school,working class,0.609764896,1,before 2015,1,1,10238,8000,sedan,0,1,1,0
871231,40-64,female,majority,0-9y,high school,middle class,0.563270377,1,before 2015,0,0,10238,13000,sedan,0,0,0,0
195743,16-25,female,majority,0-9y,none,poverty,0.46330278,0,before 2015,0,0,10238,17000,sedan,0,0,0,1
638512,16-25,female,majority,0-9y,none,poverty,0.345542193,1,before 2015,0,0,10238,19000,sedan,0,0,0,1
689147,40-64,female,majority,20-29y,none,upper class,0.789827376,1,after 2015,1,1,32765,10000,sedan,6,0,0,0
440095,40-64,male,majority,20-29y,high school,middle class,0.715973964,1,after 2015,1,1,10238,7000,sedan,3,0,4,0
332804,40-64,female,majority,0-9y,high school,upper class,0.670673498,1,after 2015,1,1,10238,10000,sports car,0,0,0,0
954342,40-64,female,minority,0-9y,university,upper class,,1,before 2015,1,1,10238,13000,sedan,0,0,0,0
165678,65+,male,majority,20-29y,university,upper class,0.646522279,1,before 2015,1,1,10238,12000,sedan,4,0,4,0
864206,16-25,female,majority,0-9y,high school,poverty,0.468177122,0,before 2015,0,0,10238,12000,sedan,0,0,0,1
809136,26-39,female,majority,10-19y,high school,working class,0.382457896,1,before 2015,0,0,10238,14000,sedan,0,0,5,0
645189,40-64,male,majority,20-29y,university,upper class,0.686856119,1,after 2015,1,1,10238,12000,sedan,4,1,2,0
995529,40-64,female,majority,0-9y,university,upper class,,1,after 2015,1,1,10238,10000,sedan,0,0,0,0
945524,40-64,female,majority,0-9y,high school,upper class,0.53959278,1,after 2015,0,1,10238,13000,sedan,0,0,0,0
876329,26-39,male,majority,10-19y,university,upper class,0.472677407,1,after 2015,1,1,10238,,sedan,3,0,1,0
230845,40-64,female,majority,20-29y,university,upper class,0.587048708,1,before 2015,1,1,32765,9000,sedan,3,0,1,0
564949,65+,female,majority,30y+,university,upper class,0.671187248,1,before 2015,1,1,10238,,sedan,7,0,2,0
414658,16-25,female,majority,0-9y,high school,middle class,0.554470838,1,before 2015,1,1,32765,6000,sedan,0,0,0,1
88713,26-39,female,majority,10-19y,high school,middle class,,1,before 2015,0,1,10238,13000,sedan,1,0,0,0
599432,26-39,female,majority,10-19y,university,upper class,0.477523513,1,before 2015,1,0,10238,12000,sedan,1,0,1,0
196636,40-64,female,majority,20-29y,high school,upper class,0.661171058,1,before 2015,0,0,10238,14000,sedan,2,0,2,0
458531,40-64,male,majority,10-19y,high school,working class,0.32999588,0,before 2015,0,0,32765,,sedan,9,0,2,1
509738,26-39,male,majority,0-9y,university,upper class,0.456225049,1,after 2015,0,1,10238,13000,sedan,0,0,0,0
179788,65+,male,majority,30y+,high school,upper class,0.478057309,1,after 2015,1,1,10238,15000,sedan,5,1,1,0
618987,26-39,male,majority,10-19y,university,working class,0.390847395,1,before 2015,1,0,10238,15000,sedan,0,0,2,1
802092,40-64,male,majority,20-29y,none,working class,0.246419585,1,after 2015,1,0,10238,11000,sedan,2,1,3,0
744204,16-25,male,majority,0-9y,high school,poverty,0.206291728,0,before 2015,0,1,10238,14000,sedan,0,0,0,1
499008,65+,male,majority,30y+,university,upper class,0.617116574,1,after 2015,1,1,10238,8000,sedan,6,0,10,0
958783,65+,female,majority,0-9y,university,upper class,,1,before 2015,1,1,10238,11000,sedan,0,0,0,0
707945,65+,female,minority,0-9y,high school,middle class,0.587737348,1,after 2015,0,1,32765,9000,sedan,0,0,0,0
486308,40-64,female,majority,20-29y,high school,middle class,,1,before 2015,1,1,10238,10000,sedan,1,1,2,0
741144,26-39,male,minority,10-19y,none,poverty,,0,before 2015,0,1,10238,16000,sedan,3,0,1,0
963286,65+,male,majority,30y+,high school,upper class,0.577594779,1,after 2015,1,1,10238,12000,sedan,3,1,2,0
812722,65+,female,majority,30y+,university,upper class,0.646972073,1,before 2015,1,0,10238,11000,sedan,0,2,0,0
674516,16-25,female,majority,0-9y,high school,working class,,1,before 2015,1,0,10238,,sedan,0,0,0,0
773115,26-39,female,majority,0-9y,high school,upper class,0.55129236,1,before 2015,0,1,10238,10000,sedan,0,0,0,0
960136,16-25,female,majority,0-9y,high school,middle class,0.539064793,0,before 2015,0,0,10238,15000,sedan,0,0,0,1
647213,40-64,female,majority,20-29y,high school,upper class,0.701550421,1,after 2015,1,1,10238,10000,sedan,1,0,0,0
205892,40-64,female,majority,10-19y,university,upper class,0.594335102,1,before 2015,1,1,32765,5000,sedan,1,0,0,0
267032,40-64,male,majority,20-29y,university,upper class,0.585104297,1,after 2015,1,1,10238,10000,sedan,2,0,6,0
861693,65+,female,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
27276,40-64,female,majority,20-29y,high school,upper class,0.725625592,1,after 2015,1,1,32765,5000,sedan,2,0,0,0
531131,40-64,female,majority,0-9y,university,upper class,0.62824356,1,before 2015,0,1,92101,12000,sedan,0,0,0,1
778195,16-25,female,minority,0-9y,none,poverty,0.269076355,1,before 2015,0,0,10238,17000,sedan,0,0,0,1
939389,40-64,female,majority,20-29y,university,upper class,0.642173425,1,after 2015,1,1,92101,10000,sedan,1,0,0,0
503387,26-39,male,majority,10-19y,high school,middle class,0.385094267,0,before 2015,0,0,10238,,sedan,1,0,1,0
834282,26-39,male,majority,10-19y,high school,working class,0.459238002,0,before 2015,0,0,10238,14000,sedan,1,0,1,1
981793,40-64,male,minority,20-29y,university,upper class,0.712479022,1,after 2015,0,1,10238,9000,sedan,2,1,5,0
473208,40-64,male,majority,20-29y,high school,upper class,0.827209602,1,before 2015,1,1,32765,9000,sedan,8,1,2,0
670181,40-64,female,minority,0-9y,university,upper class,0.588528674,1,after 2015,0,1,10238,10000,sedan,0,0,0,0
53039,26-39,female,majority,10-19y,high school,upper class,0.416687976,0,after 2015,0,0,32765,,sedan,1,0,0,1
417941,16-25,female,majority,0-9y,none,poverty,0.32598902,0,before 2015,0,0,10238,8000,sedan,0,0,0,1
858084,40-64,male,majority,20-29y,university,upper class,0.440371178,1,after 2015,1,1,10238,9000,sedan,5,0,5,0
809704,16-25,male,majority,0-9y,high school,poverty,0.526486258,0,before 2015,0,0,32765,14000,sedan,0,0,0,1
771717,65+,male,majority,30y+,university,upper class,0.520543721,1,before 2015,1,1,10238,12000,sedan,5,0,5,0
135166,26-39,male,majority,10-19y,university,upper class,0.723245028,0,after 2015,0,1,10238,12000,sedan,0,1,1,0
460721,65+,male,majority,0-9y,university,upper class,0.591839906,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
965356,65+,male,majority,30y+,high school,upper class,0.532077973,1,after 2015,1,1,10238,10000,sedan,4,1,2,0
7967,40-64,male,majority,20-29y,high school,working class,0.324743831,1,before 2015,1,1,10238,10000,sedan,4,0,3,0
730017,26-39,female,majority,10-19y,high school,poverty,0.307021812,0,before 2015,1,1,10238,9000,sedan,1,0,0,0
815396,40-64,male,majority,20-29y,university,upper class,0.592426314,1,before 2015,0,1,10238,12000,sedan,6,1,7,0
752125,65+,male,majority,30y+,university,upper class,0.688515889,1,after 2015,1,1,10238,12000,sedan,7,0,5,0
625980,40-64,female,majority,20-29y,high school,middle class,0.615365261,1,after 2015,0,0,21217,17000,sedan,0,0,0,1
122800,16-25,female,majority,0-9y,high school,poverty,0.342238916,0,before 2015,0,1,10238,12000,sedan,0,0,0,1
151717,16-25,male,majority,0-9y,none,poverty,0.247335922,1,before 2015,1,1,10238,9000,sedan,0,0,0,1
316960,40-64,female,majority,20-29y,university,upper class,0.621845827,0,after 2015,0,1,10238,15000,sedan,0,0,0,0
463625,40-64,female,majority,20-29y,none,working class,,1,before 2015,0,0,10238,19000,sedan,1,0,1,0
586621,65+,female,majority,10-19y,university,middle class,0.47039982,1,before 2015,1,1,32765,8000,sedan,4,0,0,0
194478,26-39,female,majority,0-9y,none,working class,,0,before 2015,0,1,10238,13000,sedan,0,0,0,1
223064,26-39,male,majority,10-19y,university,upper class,0.71991879,1,after 2015,1,1,10238,11000,sedan,0,0,3,0
246328,26-39,female,majority,0-9y,none,working class,0.417467705,1,before 2015,1,0,10238,9000,sports car,0,0,0,0
411201,26-39,male,majority,0-9y,high school,working class,,1,before 2015,1,1,10238,,sedan,0,0,0,1
928068,65+,male,majority,30y+,university,upper class,0.636268271,1,after 2015,1,1,32765,,sedan,9,0,2,0
908772,26-39,male,majority,10-19y,none,middle class,0.514259057,1,before 2015,0,0,10238,12000,sedan,1,0,0,1
280990,65+,male,majority,30y+,university,upper class,0.636166501,1,after 2015,1,1,10238,14000,sedan,6,0,3,0
162129,16-25,male,majority,0-9y,university,working class,0.542327881,0,before 2015,0,0,32765,14000,sedan,0,0,0,1
656450,16-25,female,majority,0-9y,none,poverty,0.478493652,1,after 2015,0,1,10238,16000,sedan,0,0,0,0
977464,40-64,female,majority,20-29y,high school,upper class,0.549140286,1,before 2015,0,1,92101,,sedan,2,0,0,0
323541,40-64,male,majority,20-29y,high school,middle class,0.505099202,0,before 2015,0,0,10238,18000,sedan,0,1,1,1
672023,16-25,female,majority,0-9y,high school,working class,0.370520043,1,before 2015,0,0,10238,13000,sedan,0,0,0,1
314599,40-64,female,majority,20-29y,high school,middle class,0.455211436,1,after 2015,1,0,10238,16000,sedan,1,1,1,0
658421,16-25,female,majority,0-9y,none,working class,0.530699755,1,after 2015,0,0,10238,12000,sedan,0,0,0,0
236645,26-39,male,majority,10-19y,university,middle class,0.57110469,1,before 2015,1,0,10238,13000,sedan,4,1,2,0
950177,40-64,male,majority,0-9y,university,upper class,0.609604979,1,after 2015,0,0,10238,15000,sedan,0,0,0,0
562261,16-25,female,majority,0-9y,none,poverty,0.303985583,0,before 2015,0,1,10238,13000,sedan,0,0,0,1
124605,40-64,female,majority,0-9y,high school,upper class,0.599969045,1,after 2015,0,0,32765,13000,sedan,0,0,0,1
417275,65+,male,majority,30y+,university,upper class,0.786253165,1,before 2015,1,1,32765,6000,sedan,8,1,2,0
41734,40-64,female,majority,20-29y,high school,upper class,0.705179398,1,before 2015,1,1,10238,12000,sedan,3,0,3,0
502727,40-64,female,majority,20-29y,university,middle class,0.539815614,0,before 2015,0,1,10238,14000,sedan,1,0,0,0
976385,65+,female,majority,30y+,none,working class,0.325629713,0,after 2015,0,1,92101,11000,sedan,2,0,1,0
51377,40-64,female,majority,0-9y,none,upper class,0.446675223,1,before 2015,1,1,32765,6000,sedan,0,0,0,1
747158,40-64,male,majority,10-19y,high school,poverty,0.244700282,0,after 2015,0,1,32765,13000,sedan,0,0,0,1
284372,40-64,male,majority,10-19y,university,upper class,,1,before 2015,1,1,10238,12000,sedan,3,0,3,0
100870,26-39,female,minority,0-9y,high school,middle class,0.56102997,1,before 2015,0,0,10238,17000,sedan,0,0,0,0
438080,16-25,female,majority,0-9y,none,poverty,0.357690477,0,before 2015,0,0,10238,17000,sedan,0,0,0,1
20500,16-25,male,majority,0-9y,high school,working class,0.637030018,0,after 2015,0,0,10238,13000,sedan,0,0,0,0
233711,40-64,female,majority,20-29y,university,upper class,0.61243331,1,before 2015,0,1,10238,10000,sedan,0,0,2,0
100734,65+,female,majority,30y+,university,upper class,0.632774532,1,after 2015,1,1,10238,11000,sedan,1,0,2,0
661605,26-39,male,majority,10-19y,university,middle class,0.683451172,0,before 2015,0,0,10238,15000,sedan,2,1,0,0
903686,65+,female,majority,0-9y,high school,middle class,0.56770203,1,before 2015,1,1,92101,,sedan,0,0,0,1
67595,26-39,female,majority,10-19y,high school,middle class,0.621569255,0,before 2015,0,1,10238,17000,sedan,1,0,0,0
469243,16-25,male,majority,0-9y,university,upper class,0.616109811,0,before 2015,0,1,10238,14000,sedan,0,0,0,1
443691,16-25,male,majority,0-9y,high school,working class,,0,after 2015,0,0,92101,13000,sports car,0,0,0,1
76113,40-64,female,majority,20-29y,high school,upper class,,1,after 2015,1,0,32765,11000,sedan,0,2,0,0
683893,40-64,female,majority,10-19y,high school,middle class,0.58458744,1,before 2015,0,1,32765,11000,sedan,0,0,0,0
920288,16-25,male,majority,0-9y,university,middle class,0.57311586,1,before 2015,0,0,10238,14000,sports car,0,0,0,1
723319,16-25,male,majority,0-9y,high school,poverty,0.384204004,0,after 2015,0,0,10238,18000,sedan,0,0,0,1
696548,40-64,female,majority,20-29y,university,upper class,0.570023397,1,after 2015,1,1,10238,10000,sedan,4,0,1,0
237346,40-64,female,majority,10-19y,university,upper class,0.618285601,1,before 2015,1,1,32765,10000,sedan,3,0,0,0
222322,40-64,male,minority,20-29y,none,poverty,0.395528058,0,before 2015,0,1,32765,13000,sedan,1,0,1,0
584671,26-39,male,majority,0-9y,high school,working class,0.283360243,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
582062,65+,male,majority,10-19y,high school,upper class,0.614571937,1,before 2015,0,1,10238,14000,sedan,0,0,0,0
684476,26-39,male,minority,10-19y,none,working class,0.472304487,0,before 2015,0,0,10238,14000,sedan,1,0,0,0
562582,16-25,female,majority,0-9y,high school,poverty,0.415385543,0,before 2015,0,0,10238,13000,sedan,0,0,0,1
434349,26-39,male,majority,10-19y,high school,upper class,0.718439764,1,after 2015,0,0,10238,12000,sedan,2,0,1,0
749301,26-39,female,majority,10-19y,high school,middle class,0.551338719,1,after 2015,0,0,10238,13000,sedan,0,0,0,0
96383,65+,female,majority,30y+,university,upper class,,1,after 2015,0,1,32765,,sedan,3,0,1,0
57631,26-39,female,majority,10-19y,none,poverty,0.434221799,1,before 2015,0,0,10238,12000,sedan,0,0,2,0
454040,16-25,female,majority,0-9y,high school,poverty,0.456631987,0,before 2015,0,0,10238,16000,sedan,0,0,0,1
565650,26-39,female,majority,10-19y,university,upper class,0.576977325,1,before 2015,0,0,32765,14000,sedan,2,0,1,0
938007,26-39,male,majority,10-19y,high school,working class,0.439611638,1,after 2015,0,1,10238,17000,sedan,0,1,0,0
341683,26-39,female,majority,10-19y,university,upper class,0.52887298,1,before 2015,0,1,10238,14000,sedan,0,0,0,0
567612,65+,male,majority,0-9y,none,working class,0.468755541,1,before 2015,1,1,32765,8000,sedan,0,0,0,0
619374,40-64,female,majority,10-19y,high school,upper class,0.667112798,1,after 2015,0,0,10238,10000,sedan,0,1,0,0
690336,16-25,female,minority,0-9y,none,poverty,0.467410046,0,before 2015,0,1,10238,14000,sedan,0,0,0,1
612763,40-64,male,majority,10-19y,high school,upper class,0.819627685,1,after 2015,1,1,32765,13000,sedan,5,0,1,1
418826,26-39,male,majority,10-19y,none,working class,0.374520464,1,before 2015,0,1,10238,14000,sedan,1,0,1,1
218247,65+,male,majority,30y+,high school,upper class,0.734091844,1,before 2015,1,1,10238,12000,sedan,4,1,3,0
258553,16-25,male,minority,0-9y,none,poverty,0.376096101,1,before 2015,0,1,10238,13000,sedan,0,0,0,1
166158,26-39,male,majority,10-19y,university,upper class,0.450825753,1,after 2015,0,1,92101,12000,sedan,1,0,0,0
677159,65+,female,majority,30y+,high school,upper class,0.639079043,1,before 2015,1,1,32765,13000,sedan,1,1,0,0
269039,26-39,male,majority,0-9y,university,working class,0.38813198,0,after 2015,0,1,32765,15000,sedan,0,0,0,1
535998,16-25,female,majority,0-9y,none,poverty,0.409103098,0,before 2015,0,0,10238,18000,sedan,0,0,0,1
85547,65+,female,majority,20-29y,high school,middle class,0.461447565,1,after 2015,1,1,10238,13000,sedan,2,0,2,0
188650,40-64,female,majority,20-29y,high school,middle class,0.57320184,0,before 2015,1,1,32765,,sedan,4,0,1,0
668634,16-25,female,majority,0-9y,none,poverty,0.362858055,1,before 2015,0,1,10238,,sedan,0,0,0,1
127523,26-39,male,majority,10-19y,high school,middle class,0.529958005,1,before 2015,0,0,10238,18000,sedan,0,1,1,1
23923,16-25,female,majority,0-9y,high school,middle class,0.550975404,1,before 2015,0,0,32765,13000,sedan,0,0,0,1
661421,16-25,female,majority,0-9y,high school,working class,0.506414608,0,before 2015,0,1,10238,10000,sedan,0,0,0,1
793749,26-39,male,majority,10-19y,university,working class,0.465045856,0,before 2015,1,0,32765,,sedan,4,2,1,0
329867,65+,female,majority,30y+,university,upper class,0.649307673,1,before 2015,1,1,92101,8000,sedan,2,0,4,0
825349,26-39,female,majority,10-19y,high school,working class,0.396318148,1,before 2015,0,1,32765,14000,sedan,2,0,0,0
523141,26-39,male,majority,10-19y,high school,upper class,0.657959817,1,after 2015,0,1,10238,11000,sedan,1,0,1,0
545575,16-25,female,majority,0-9y,high school,poverty,0.318731245,1,before 2015,1,0,10238,10000,sedan,0,0,0,0
492082,40-64,male,majority,20-29y,university,upper class,0.457278601,1,after 2015,1,1,10238,9000,sedan,5,2,2,0
970684,26-39,male,minority,10-19y,high school,upper class,0.478610066,1,before 2015,1,1,10238,13000,sedan,2,0,2,0
158967,26-39,female,majority,0-9y,none,poverty,0.377370645,0,before 2015,0,1,10238,,sedan,0,0,0,1
808611,40-64,male,majority,0-9y,university,upper class,0.711333877,1,before 2015,0,0,10238,14000,sedan,0,0,0,1
457160,16-25,female,majority,0-9y,high school,working class,0.48425438,0,before 2015,0,0,10238,17000,sedan,0,0,0,1
205549,65+,male,majority,10-19y,high school,upper class,0.620280699,1,before 2015,1,1,10238,11000,sedan,2,0,1,0
172991,16-25,female,majority,0-9y,none,poverty,0.331407984,1,before 2015,0,0,32765,8000,sedan,0,0,0,1
584626,16-25,male,majority,0-9y,high school,middle class,0.319748554,1,before 2015,1,1,10238,9000,sedan,0,0,0,0
395702,65+,female,majority,30y+,high school,upper class,0.73985673,1,before 2015,0,1,92101,11000,sedan,1,0,3,0
717549,26-39,female,majority,10-19y,university,upper class,0.652948913,1,after 2015,1,1,32765,11000,sedan,1,0,2,0
959391,26-39,male,minority,10-19y,none,poverty,0.365131607,0,before 2015,0,0,10238,16000,sedan,0,0,1,1
312454,16-25,female,majority,0-9y,none,poverty,,0,before 2015,0,0,10238,,sedan,0,0,0,1
338513,40-64,female,majority,10-19y,high school,upper class,0.512715649,0,before 2015,0,1,32765,7000,sedan,3,0,0,0
273524,26-39,male,majority,10-19y,high school,working class,0.328632893,0,before 2015,0,1,10238,9000,sedan,0,1,5,0
130166,65+,female,majority,0-9y,high school,upper class,0.746655862,1,after 2015,0,0,10238,,sedan,0,0,0,0
308272,40-64,male,majority,0-9y,university,upper class,0.544495298,1,after 2015,1,1,10238,13000,sedan,0,0,0,1
771922,40-64,male,majority,10-19y,university,upper class,,1,before 2015,1,0,10238,12000,sedan,0,0,1,1
915758,26-39,male,majority,10-19y,high school,middle class,0.455209543,1,after 2015,0,1,10238,15000,sedan,1,0,2,0
726016,26-39,female,minority,0-9y,high school,middle class,0.437925067,1,after 2015,1,1,32765,10000,sedan,0,0,0,1
349674,26-39,female,majority,10-19y,university,upper class,0.693537002,1,before 2015,1,1,32765,7000,sports car,1,0,0,0
950320,16-25,male,majority,0-9y,none,working class,0.399753721,1,before 2015,0,0,10238,13000,sports car,0,0,0,0
73871,26-39,female,majority,10-19y,high school,middle class,0.428001633,1,before 2015,1,0,10238,12000,sedan,2,0,0,0
652421,40-64,male,majority,20-29y,high school,poverty,0.197852333,0,before 2015,0,1,10238,15000,sedan,0,0,2,0
79700,40-64,male,majority,0-9y,university,upper class,0.635859747,1,after 2015,0,1,10238,14000,sedan,0,0,0,1
419696,26-39,female,minority,10-19y,none,poverty,0.394410299,0,before 2015,1,1,92101,13000,sedan,1,0,1,0
673931,40-64,male,majority,20-29y,university,upper class,0.561307385,1,before 2015,1,1,10238,11000,sedan,2,0,3,0
305055,16-25,female,majority,0-9y,high school,middle class,0.530115693,1,before 2015,0,0,32765,12000,sedan,0,0,0,0
575571,16-25,female,majority,0-9y,high school,poverty,0.3231935,0,before 2015,0,0,10238,16000,sedan,0,0,0,1
732607,65+,female,majority,0-9y,high school,upper class,0.566490403,0,before 2015,1,1,10238,11000,sports car,0,0,0,1
959559,26-39,female,majority,0-9y,university,upper class,0.602838729,1,before 2015,1,0,32765,11000,sedan,0,0,0,1
213996,26-39,female,majority,10-19y,university,upper class,0.652814026,1,after 2015,1,1,10238,11000,sedan,1,0,1,0
800126,65+,male,majority,20-29y,university,upper class,0.582031929,1,before 2015,1,1,10238,10000,sedan,1,0,4,0
919735,40-64,female,majority,20-29y,high school,middle class,0.441621284,1,before 2015,1,1,10238,10000,sedan,2,0,1,0
230073,40-64,male,majority,0-9y,none,working class,0.48160901,1,before 2015,1,1,10238,12000,sedan,0,0,0,0
322955,40-64,male,minority,20-29y,high school,upper class,0.687822709,1,after 2015,1,1,32765,,sedan,7,0,1,0
528346,65+,male,majority,20-29y,university,upper class,0.606721577,0,before 2015,1,1,10238,11000,sedan,6,0,1,0
605381,26-39,male,majority,10-19y,none,poverty,0.462608728,0,before 2015,0,1,10238,11000,sedan,1,1,2,1
312360,16-25,female,majority,0-9y,high school,working class,0.581943569,1,before 2015,1,1,10238,11000,sedan,0,0,0,1
887362,16-25,female,majority,0-9y,high school,poverty,0.344721471,1,before 2015,1,0,10238,13000,sedan,0,0,0,1
349447,65+,male,majority,30y+,university,upper class,0.49772412,1,after 2015,1,1,10238,9000,sedan,1,1,4,0
107189,26-39,male,majority,10-19y,high school,middle class,0.560565993,1,before 2015,0,0,10238,,sedan,0,0,6,1
904550,26-39,male,majority,10-19y,none,poverty,0.490551249,1,before 2015,1,0,92101,,sedan,0,1,1,1
312112,40-64,male,majority,20-29y,university,upper class,0.687021251,1,before 2015,0,1,92101,15000,sedan,2,0,1,0
